"filename", "language", "Ini", "Makefile", "C++", "GLSL", "C", "comment", "blank", "total"
"d:\DEV\projects\Project_1\include\glm\ext\quaternion_transform.hpp", "C++", 0, 0, 13, 0, 0, 28, 7, 48
"d:\DEV\projects\Project_1\include\glm\ext\quaternion_transform.inl", "C++", 0, 0, 19, 0, 0, 1, 5, 25
"d:\DEV\projects\Project_1\include\glm\ext\quaternion_trigonometric.hpp", "C++", 0, 0, 19, 0, 0, 35, 10, 64
"d:\DEV\projects\Project_1\include\glm\ext\quaternion_trigonometric.inl", "C++", 0, 0, 29, 0, 0, 0, 6, 35
"d:\DEV\projects\Project_1\include\glm\ext\scalar_common.hpp", "C++", 0, 0, 39, 0, 0, 97, 22, 158
"d:\DEV\projects\Project_1\include\glm\ext\scalar_common.inl", "C++", 0, 0, 130, 0, 0, 1, 22, 153
"d:\DEV\projects\Project_1\include\glm\ext\scalar_constants.hpp", "C++", 0, 0, 15, 0, 0, 16, 10, 41
"d:\DEV\projects\Project_1\include\glm\ext\scalar_constants.inl", "C++", 0, 0, 21, 0, 0, 0, 4, 25
"d:\DEV\projects\Project_1\include\glm\ext\scalar_int_sized.hpp", "C++", 0, 0, 38, 0, 0, 18, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\scalar_integer.hpp", "C++", 0, 0, 29, 0, 0, 50, 14, 93
"d:\DEV\projects\Project_1\include\glm\ext\scalar_integer.inl", "C++", 0, 0, 208, 0, 0, 0, 36, 244
"d:\DEV\projects\Project_1\include\glm\ext\scalar_packing.hpp", "C++", 0, 0, 9, 0, 0, 16, 8, 33
"d:\DEV\projects\Project_1\include\glm\ext\scalar_packing.inl", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DEV\projects\Project_1\include\glm\ext\scalar_relational.hpp", "C++", 0, 0, 17, 0, 0, 39, 10, 66
"d:\DEV\projects\Project_1\include\glm\ext\scalar_relational.inl", "C++", 0, 0, 32, 0, 0, 2, 7, 41
"d:\DEV\projects\Project_1\include\glm\ext\scalar_uint_sized.hpp", "C++", 0, 0, 38, 0, 0, 18, 15, 71
"d:\DEV\projects\Project_1\include\glm\ext\scalar_ulp.hpp", "C++", 0, 0, 21, 0, 0, 42, 12, 75
"d:\DEV\projects\Project_1\include\glm\ext\scalar_ulp.inl", "C++", 0, 0, 250, 0, 0, 7, 28, 285
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool1.hpp", "C++", 0, 0, 9, 0, 0, 15, 7, 31
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool1_precision.hpp", "C++", 0, 0, 11, 0, 0, 15, 9, 35
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_bool4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_common.hpp", "C++", 0, 0, 46, 0, 0, 134, 25, 205
"d:\DEV\projects\Project_1\include\glm\ext\vector_common.inl", "C++", 0, 0, 111, 0, 0, 0, 19, 130
"d:\DEV\projects\Project_1\include\glm\ext\vector_double1.hpp", "C++", 0, 0, 9, 0, 0, 16, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_double1_precision.hpp", "C++", 0, 0, 11, 0, 0, 17, 9, 37
"d:\DEV\projects\Project_1\include\glm\ext\vector_double2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_double2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_double3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
